"titleValue","colorMode","qualifyingSystem","aspectRatio","releaseYear","budget","movieFacebookNumberLikes","numberCriticsForReview","numberUsersReviews","numberUsersVotes","numberFacesInPoster","duration","directorFacebookNumberLikes","actor1FacebookNumberLikes","actor2FacebookNumberLikes","actor3FacebookNumberLikes","fullCastingFacebookNumberLikes","grossLevelValue","genres","country","language","correctMovieExpectations"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003675741989312226,"Color","PG",1.85,2010,200000000,24000,451,736,306320,0,108,13000,40000,25000,11000,79957,71148699,"Adventure|Family|Fantasy","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005205221032458303,"Color","PG-13",2.35,2006,210000000,0,334,1912,383427,0,104,420,20000,808,560,21714,45802315,"Action|Adventure|Fantasy|Sci-Fi|Thriller","Canada","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313555804228741,"Color","G",1.85,2013,200000000,44000,376,265,235025,0,104,37,12000,779,760,14863,108012170,"Adventure|Animation|Comedy|Family|Fantasy","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001306939135895579,"Color","PG-13",2.35,2009,200000000,0,366,1439,323207,0,150,0,894,581,464,3218,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006549176924961049,"Color","PG-13",2.35,2014,210000000,56000,378,918,242420,2,165,0,974,956,808,3988,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021545592446857534,"Color","PG",2.35,2013,215000000,60000,525,511,175409,4,130,0,44000,15000,11000,73441,71148699,"Adventure|Family|Fantasy","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033116288893196856,"Color","PG-13",2.35,2014,200000000,41000,495,1067,321227,0,142,464,15000,10000,825,28631,291021565,"Action|Adventure|Fantasy|Sci-Fi","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003868330882185338,"Color","PG",2.35,2010,170000000,30000,469,665,264183,0,125,364,12000,10000,1000,25550,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014461123371393697,"Color","G",2.35,2011,200000000,10000,304,283,101178,0,106,487,1000,919,776,4482,191450875,"Adventure|Animation|Comedy|Family|Sport","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002864717270675047,"Color","PG-13",2.35,2011,200000000,24000,436,550,223393,2,123,258,16000,368,326,17657,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034854868266809954,"Color","G",1.85,2010,200000000,30000,453,733,544884,3,103,125,15000,1000,721,19085,108012170,"Adventure|Animation|Comedy|Family|Fantasy","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009664294312451555,"Color","PG-13",2.35,2009,200000000,0,422,974,286095,0,118,368,23000,3000,988,27468,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025587691810630776,"Color","PG-13",2.35,2015,190000000,94000,424,657,278232,0,140,0,26000,23000,14000,79150,27829874,"Action|Crime|Thriller","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003347406916809727,"Color","PG-13",2.35,2013,190000000,129000,654,995,465019,0,123,395,17000,11000,1000,32392,21426805,"Action|Adventure|Horror|Sci-Fi|Thriller","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003687733535674675,"Color","PG-13",2.35,2014,200000000,82000,539,752,514125,7,149,0,34000,22000,20000,91434,45802315,"Action|Adventure|Fantasy|Sci-Fi|Thriller","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021327313583188827,"Color","PG-13",2.35,2013,190000000,92000,590,1171,395573,0,132,14000,19000,981,928,21411,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014589226585595412,"Color","PG-13",2.35,2013,195000000,22000,338,205,106416,1,114,0,979,557,140,1766,37567440,"Adventure|Fantasy","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007756294093521841,"Color","PG-13",2.35,2013,105000000,115000,490,753,362912,4,143,1000,29000,509,77,29770,9701559,"Drama|Romance","Australia","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638973442995612,"Color","PG-13",2.35,2010,200000000,23000,306,453,222403,2,116,179,15000,567,236,16149,373377893,"Action|Adventure|Fantasy|Romance","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019447811795313238,"Color","PG-13",1.85,2013,190000000,83000,575,1106,381148,0,131,0,16000,968,919,19166,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000055036416510545445,"Color","PG-13",2.35,2011,195000000,46000,428,899,326180,2,154,0,894,829,581,2593,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000016608032323230473,"Color","PG-13",2.35,2008,185000000,5000,470,2054,333847,2,122,14000,11000,1000,1000,14959,83640426,"Action|Adventure|Fantasy","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000731746189685071,"Color","PG",2.35,2015,61077500000,20000,298,345,62836,0,93,113,275,150,113,696,108012170,"Adventure|Animation|Comedy|Family|Fantasy","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003492418789230207,"Color","PG",2.35,2012,185000000,39000,488,428,273556,0,93,56,2000,1000,838,5005,108012170,"Adventure|Animation|Comedy|Family|Fantasy","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021815244839164744,"Color","PG-13",2.35,2016,185000000,30000,322,432,53607,4,122,681,998,119,105,1327,65173160,"Action|Adventure|Sci-Fi|Thriller","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043350231764731296,"Color","G",2.35,2008,180000000,16000,421,1043,718837,0,98,475,1000,729,522,2975,38120554,"Adventure|Animation|Family|Sci-Fi","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003485438213542916,"Color","PG-13",2.35,2007,140000000,0,162,221,121084,2,91,420,268,268,173,1125,38413606,"Action|Comedy|Crime|Thriller","USA","English","Regular"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010297044807885036,"Color","PG-13",2.35,2009,200000000,13000,367,1055,283418,0,158,776,1000,468,310,2144,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005343190749396673,"Color","PG",2.35,2009,200000000,0,240,249,72809,0,96,0,18000,14000,10000,48878,137850096,"Animation|Drama|Family|Fantasy","USA","English","Regular"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003771787945856572,"Color","PG-13",2.35,2015,176000000,44000,384,720,139593,1,127,0,17000,15000,13000,47334,154985087,"Action|Adventure|Sci-Fi","USA","English","Regular"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009598315029224522,"Color","PG-13",2.35,2016,180000000,29000,248,239,42372,2,110,282,11000,10000,103,21175,165500000,"Action|Adventure|Drama|Romance","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000693254351266273,"Color","PG",2.35,2005,180000000,0,284,1463,286506,5,150,80,1000,190,82,1317,71148699,"Adventure|Family|Fantasy","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002806878005022804,"Color","PG-13",2.35,2016,178000000,54000,396,622,148379,6,144,0,34000,13000,1000,49684,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054209866658653745,"Color","PG-13",2.35,2008,185000000,37000,645,4667,1676169,0,152,22000,23000,13000,11000,57802,24375436,"Action|Crime|Drama|Thriller","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005058551389472046,"Color","PG",1.85,2009,175000000,27000,408,704,665575,1,96,0,1000,848,262,2635,100169068,"Adventure|Animation|Comedy|Family","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001061427341565892,"Color","PG",2.35,2009,175000000,0,219,187,114553,2,94,11,1000,973,459,2579,80920948,"Action|Adventure|Animation|Comedy|Family|Sci-Fi","USA","English","Regular"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001190174273945237,"Color","PG-13",2.35,2008,140000000,10000,486,1055,696338,3,126,4000,21000,12000,4000,39252,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006364241429509333,"Color","PG",1.85,2011,170000000,42000,682,678,245333,0,126,17000,17000,16000,1000,36017,73820094,"Adventure|Drama|Family|Mystery","USA","English","Buena"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045730033689104315,"Color","PG-13",1.85,1999,170000000,0,85,648,129601,2,106,188,10000,4000,582,15870,113745408,"Action|Comedy|Sci-Fi|Western","USA","English","Regular"
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023683376049133277,"Color","PG-13",2.35,2008,145000000,0,264,501,117927,2,112,357,5000,3000,595,9131,102176165,"Action|Adventure|Fantasy|Horror|Thriller","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001276544494708178,"Color","PG-13",2.35,2016,175000000,80000,418,971,118992,8,123,452,10000,336,329,11287,180191634,"Action|Adventure|Comedy|Sci-Fi","USA","English","Buena"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004625577984176392,"Color","PG",2.35,2007,175000000,2000,186,257,115099,0,96,293,87000,11000,7000,108016,68218041,"Comedy|Family|Fantasy","USA","English","Regular"
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007454573698081538,"Color","PG-13",2.35,2014,178000000,77000,585,741,431620,1,113,218,10000,854,509,12652,154985087,"Action|Adventure|Sci-Fi","USA","English","Buena"
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007672564236523614,"Color","PG-13",1.85,1995,175000000,0,91,309,144337,0,176,58,711,60,60,1004,65173160,"Action|Adventure|Sci-Fi|Thriller","USA","English","Regular"
